Job Title,Job ID,City,State,Country,Category,Apply Link
Developer - L2,83333,Mumbai,Maharashtra,India,Business Process,https://careers.wipro.com/job/Developer-L2/83333-en_US
Lead Administrator - L2,83338,Mumbai,Maharashtra,India,Cloud,https://careers.wipro.com/job/Lead-Administrator-L2/83338-en_US
Production Agent - L1,83351,Hyderabad,Telangana,India,Business Process,https://careers.wipro.com/job/Production-Agent-L1/83351-en_US
Domain Consultant - L3,83371,Pune,Maharashtra,India,Consulting,https://careers.wipro.com/job/Domain-Consultant-L3/83371-en_US
Lead Administrator - L2,83372,Mumbai,Maharashtra,India,Cloud,https://careers.wipro.com/job/Lead-Administrator-L2/83372-en_US
Lead Administrator - L1,83374,Mumbai,Maharashtra,India,Cloud,https://careers.wipro.com/job/Lead-Administrator-L1/83374-en_US
Lead Administrator - L1,83376,Hyderabad,Telangana,India,Cloud,https://careers.wipro.com/job/Lead-Administrator-L1/83376-en_US
Tools Consultant - L1,83409,Pune,Maharashtra,India,Cloud,https://careers.wipro.com/job/Tools-Consultant-L1/83409-en_US
Developer - L3,83435,Hyderabad,Telangana,India,Engineering,https://careers.wipro.com/job/Developer-L3/83435-en_US
PMO Lead - L2,83439,Bengaluru,Karnataka,India,,https://careers.wipro.com/job/PMO-Lead-L2/83439-en_US
Administrator - L3,83458,Hyderabad,Telangana,India,Cloud,https://careers.wipro.com/job/Administrator-L3/83458-en_US
Administrator - L3,83474,Hyderabad,Telangana,India,Cloud,https://careers.wipro.com/job/Administrator-L3/83474-en_US
Developer - L3,83491,Pune,Maharashtra,India,Cloud,https://careers.wipro.com/job/Developer-L3/83491-en_US
Cross Functional Lead - L2,78295,Hyderabad,Telangana,India,Cloud,https://careers.wipro.com/job/Cross-Functional-Lead-L2/78295-en_US
DevOps Lead - L1,76349,Pune,Maharashtra,India,Cloud,https://careers.wipro.com/job/DevOps-Lead-L1/76349-en_US
Technical Writer - L2,76991,Hyderabad,Telangana,India,Business Process,https://careers.wipro.com/job/Technical-Writer-L2/76991-en_US
Developer - L4,69931,Hyderabad,Telangana,India,Digital Experience,https://careers.wipro.com/job/Developer-L4/69931-en_US
Automation Engineer - L4,71780,Pune,Maharashtra,India,Cloud,https://careers.wipro.com/job/Automation-Engineer-L4/71780-en_US
Automation Engineer - L4,71784,Pune,Maharashtra,India,Cloud,https://careers.wipro.com/job/Automation-Engineer-L4/71784-en_US
Automation Engineer - L4,71794,Pune,Maharashtra,India,Cloud,https://careers.wipro.com/job/Automation-Engineer-L4/71794-en_US
Lead Administrator - L1,71826,Pune,Maharashtra,India,Cloud,https://careers.wipro.com/job/Lead-Administrator-L1/71826-en_US
Network Engineer - L4,72785,Pune,Maharashtra,India,Cloud,https://careers.wipro.com/job/Network-Engineer-L4/72785-en_US
Developer - L3,73314,Pune,Maharashtra,India,Cloud,https://careers.wipro.com/job/Developer-L3/73314-en_US
Developer - L3,83605,Hyderabad,Telangana,India,Engineering,https://careers.wipro.com/job/Developer-L3/83605-en_US
Cyber Security Analyst - L4,83640,Bengaluru,Karnataka,India,Cloud,https://careers.wipro.com/job/Cyber-Security-Analyst-L4/83640-en_US
Cyber Security Analyst - L4,83643,Bengaluru,Karnataka,India,Cloud,https://careers.wipro.com/job/Cyber-Security-Analyst-L4/83643-en_US
Functional Consultant - L1,83676,Bengaluru,Karnataka,India,Cloud,https://careers.wipro.com/job/Functional-Consultant-L1/83676-en_US
DevOps Lead - L2,83688,Pune,Maharashtra,India,Digital Experience,https://careers.wipro.com/job/DevOps-Lead-L2/83688-en_US
Business Analyst - L4,83708,Hyderabad,Telangana,India,Consulting,https://careers.wipro.com/job/Business-Analyst-L4/83708-en_US
Solution Architect - L1,83723,Bengaluru,Karnataka,India,Digital Experience,https://careers.wipro.com/job/Solution-Architect-L1/83723-en_US
Developer - L3,83724,Bengaluru,Karnataka,India,Digital Experience,https://careers.wipro.com/job/Developer-L3/83724-en_US
Quality and Process Excellence Lead - L1,83725,Pune,Maharashtra,India,Business Process,https://careers.wipro.com/job/Quality-and-Process-Excellence-Lead-L1/83725-en_US
Test Engineer - L3,83769,Hyderabad,Telangana,India,Digital Experience,https://careers.wipro.com/job/Test-Engineer-L3/83769-en_US
Production Specialist - L2,83792,Pune,Maharashtra,India,Business Process,https://careers.wipro.com/job/Production-Specialist-L2/83792-en_US
Test Engineer - L3,83805,Bengaluru,Karnataka,India,Digital Experience,https://careers.wipro.com/job/Test-Engineer-L3/83805-en_US
Test Engineer - L3,83819,Bengaluru,Karnataka,India,Digital Experience,https://careers.wipro.com/job/Test-Engineer-L3/83819-en_US
Lead Administrator - L2,83820,Hyderabad,Telangana,India,Cloud,https://careers.wipro.com/job/Lead-Administrator-L2/83820-en_US
Domain Consultant - L2,83829,Pune,Maharashtra,India,Consulting,https://careers.wipro.com/job/Domain-Consultant-L2/83829-en_US
Infrastructure and Platform Architect - L2,83852,Pune,Maharashtra,India,Cloud,https://careers.wipro.com/job/Infrastructure-and-Platform-Architect-L2/83852-en_US
System Engineer - L3,83866,Bengaluru,Karnataka,India,Cloud,https://careers.wipro.com/job/System-Engineer-L3/83866-en_US
System Engineer - L3,83867,Bengaluru,Karnataka,India,Cloud,https://careers.wipro.com/job/System-Engineer-L3/83867-en_US
System Engineer - L3,83868,Bengaluru,Karnataka,India,Cloud,https://careers.wipro.com/job/System-Engineer-L3/83868-en_US
Test Engineer - L3,83893,Bengaluru,Karnataka,India,Digital Experience,https://careers.wipro.com/job/Test-Engineer-L3/83893-en_US
Technical Lead - L1,78151,Hyderabad,Telangana,India,Cloud,https://careers.wipro.com/job/Technical-Lead-L1/78151-en_US
Technical Lead - L1,78158,Hyderabad,Telangana,India,Cloud,https://careers.wipro.com/job/Technical-Lead-L1/78158-en_US
Technical Lead - L1,78159,Hyderabad,Telangana,India,Cloud,https://careers.wipro.com/job/Technical-Lead-L1/78159-en_US
Developer - L3,78164,Bengaluru,Karnataka,India,Cloud,https://careers.wipro.com/job/Developer-L3/78164-en_US
Service Delivery Manager,78234,Pune,Maharashtra,India,Cloud,https://careers.wipro.com/job/Service-Delivery-Manager/78234-en_US
Techno Functional Consultant - L1,78236,Bengaluru,Karnataka,India,Cloud,https://careers.wipro.com/job/Techno-Functional-Consultant-L1/78236-en_US
Production Specialist - L3,78269,Pune,Maharashtra,India,Business Process,https://careers.wipro.com/job/Production-Specialist-L3/78269-en_US
Domain Consultant - L1,78270,Mumbai,Maharashtra,India,Consulting,https://careers.wipro.com/job/Domain-Consultant-L1/78270-en_US
Domain Consultant - L1,78271,Mumbai,Maharashtra,India,Consulting,https://careers.wipro.com/job/Domain-Consultant-L1/78271-en_US
Domain Consultant - L1,78272,Mumbai,Maharashtra,India,Consulting,https://careers.wipro.com/job/Domain-Consultant-L1/78272-en_US
Technical Lead - L1,84715,Bengaluru,Karnataka,India,Digital Experience,https://careers.wipro.com/job/Technical-Lead-L1/84715-en_US
Service Desk Analyst - L0,84721,Mumbai,Maharashtra,India,Cloud,https://careers.wipro.com/job/Service-Desk-Analyst-L0/84721-en_US
Functional Consultant - L2,84980,Hyderabad,Telangana,India,Cloud,https://careers.wipro.com/job/Functional-Consultant-L2/84980-en_US
Technical Lead - L1,76133,Bengaluru,Karnataka,India,Engineering,https://careers.wipro.com/job/Technical-Lead-L1/76133-en_US
Developer - L3,76135,Gurugram,Haryana,India,Engineering,https://careers.wipro.com/job/Developer-L3/76135-en_US
Administrator - L3,76268,Delhi,Delhi,India,Cloud,https://careers.wipro.com/job/Administrator-L3/76268-en_US
